Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
USA,"105,766,484",,"1,150,567",,"103,409,956",,"1,205,961","2,241","315,904","3,437","1,169,664,734","3,493,567","334,805,269",North America,3,291,0,,,"3,602"
India,"44,693,506",,"530,795",,"44,157,685",,"5,026",N/A,"31,773",377,"920,012,934","654,054","1,406,631,776",Asia,31,"2,650",2,,,4
France,"39,683,382",,"165,288",,"39,443,666",,"74,428",869,"605,072","2,520","271,490,188","4,139,547","65,584,518",Europe,2,397,0,,,"1,135"
Germany,"38,291,497",,"169,579",,"37,931,300","+11,600","190,618",N/A,"456,484","2,022","122,332,384","1,458,359","83,883,596",Europe,2,495,1,,,"2,272"
Brazil,"37,145,514",,"699,634",,"36,249,161",,"196,719",N/A,"172,486","3,249","63,776,166","296,146","215,353,593",South America,6,308,3,,,913
Japan,"33,361,299","+7,055","73,439",+48,"21,706,932",+920,"11,580,928",96,"265,648",585,"96,671,539","769,771","125,584,838",Asia,4,"1,710",1,56,0.4,"92,216"
S. Korea,"30,681,228","+9,065","34,155",+7,"30,468,756","+4,009","178,317",140,"597,726",665,"15,804,065","307,892","51,329,899",Asia,2,"1,503",3,177,0.1,"3,474"
Italy,"25,627,473",,"188,538",,"25,294,864",,"144,071",104,"425,262","3,129","268,674,307","4,458,380","60,262,770",Europe,2,320,0,,,"2,391"
UK,"24,423,396",,"208,458",,"24,147,123","+4,023","67,815",N/A,"356,557","3,043","522,526,476","7,628,357","68,497,907",Europe,3,329,0,,,990
Russia,"22,480,857","+12,915","396,769",+35,"21,829,610","+12,149","254,478",N/A,"154,183","2,721","273,400,000","1,875,095","145,805,947",Europe,6,367,1,89,0.2,"1,745"
Turkey,"17,042,722",,"101,492",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976",Asia,5,843,1,,,"1,819"
Spain,"13,778,467",,"119,618",,"13,624,507",,"34,342",231,"294,921","2,560","471,036,328","10,082,298","46,719,142",Europe,3,391,0,,,735
Vietnam,"11,527,110",+11,"43,186",,"10,614,841",+6,"869,083",3,"116,490",436,"85,826,548","867,342","98,953,541",Asia,9,"2,291",1,0.1,,"8,783"
Australia,"11,385,534",,"19,459",,"11,332,576",,"33,499",27,"436,750",746,"78,835,048","3,024,116","26,068,792",Australia/Oceania,2,"1,340",0,,,"1,285"
Taiwan,"10,214,898","+8,416","18,697",+41,"9,993,620","+13,489","202,581",,"427,606",783,"30,742,304","1,286,903","23,888,595",Asia,2,"1,278",1,352,2,"8,480"
Argentina,"10,044,957",,"130,472",,"9,912,836",,"1,649",363,"218,320","2,836","35,716,069","776,264","46,010,234",South America,5,353,1,,,36
Netherlands,"8,604,733",,"22,992",,"8,564,927",+815,"16,814",53,"499,942","1,336","25,984,435","1,509,718","17,211,447",Europe,2,749,1,,,977
Iran,"7,575,927",,"144,993",,"7,340,279",,"90,655",407,"88,069","1,686","55,353,767","643,478","86,022,837",Asia,11,593,2,,,"1,054"
Mexico,"7,504,385","+3,680","333,303",+24,"6,738,172","+2,160","432,910",N/A,"57,040","2,533","19,682,803","149,608","131,562,772",North America,18,395,7,28,0.2,"3,291"
Indonesia,"6,740,727",+323,"160,968",+5,"6,576,058",+283,"3,701",N/A,"24,149",577,"114,158,919","408,975","279,134,505",Asia,41,"1,734",2,1,0.02,13
Poland,"6,469,381","+3,364","119,109",+8,"5,335,940",,"1,014,332",696,"171,421","3,156","38,420,731","1,018,043","37,739,785",Europe,6,317,1,89,0.2,"26,877"
Colombia,"6,361,293",,"142,652",,"6,184,855",,"33,786",342,"123,490","2,769","36,951,507","717,327","51,512,762",South America,8,361,1,,,656
Austria,"5,995,336","+3,581","22,025",+1,"5,924,389","+2,290","48,922",78,"661,247","2,429","211,273,524","23,302,116","9,066,710",Europe,2,412,0,395,0.1,"5,396"
Greece,"5,910,103",,"36,372",,"5,849,560",,"24,171",115,"572,871","3,526","102,228,365","9,909,078","10,316,637",Europe,2,284,0,,,"2,343"
Portugal,"5,571,882",,"26,302",,"5,540,406",+394,"5,174",61,"549,464","2,594","46,012,446","4,537,462","10,140,570",Europe,2,386,0,,,510
Ukraine,"5,427,360",,"111,457",,"5,277,982",,"37,921",,"125,656","2,580","32,603,805","754,855","43,192,122",Europe,8,388,1,,,878
Chile,"5,218,933",,"64,353",,"5,143,327",,"11,253",79,"271,111","3,343","48,713,484","2,530,545","19,250,195",South America,4,299,0,,,585
Malaysia,"5,045,192",,"36,967",,"4,998,845",,"9,380",5,"152,050","1,114","68,309,333","2,058,684","33,181,072",Asia,7,898,0,,,283
Israel,"4,807,369",,"12,342",,"4,781,252",,"13,775",57,"515,480","1,323","41,373,364","4,436,346","9,326,000",Asia,2,756,0,,,"1,477"
DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,636",3,,,"25,990,679",Asia,5,"351,225",,,,
Belgium,"4,757,448",,"33,885",,"4,673,413","+2,093","50,150",43,"407,725","2,904","36,842,747","3,157,514","11,668,278",Europe,2,344,0,,,"4,298"
Thailand,"4,728,304",,"33,924",,"4,692,636",,"1,744",N/A,"67,472",484,"17,270,775","246,450","70,078,203",Asia,15,"2,066",4,,,25
Czechia,"4,625,116",+828,"42,549",+4,"4,572,821","+1,734","9,746",44,"430,773","3,963","57,068,342","5,315,217","10,736,784",Europe,2,252,0,77,0.4,908
Canada,"4,609,277",,"51,624",,"4,524,019","+1,530","33,634",99,"120,069","1,345","66,343,123","1,728,207","38,388,419",North America,8,744,1,,,876
Peru,"4,488,920",,"219,627",,"4,267,051",+383,"2,242",39,"133,265","6,520","38,181,139","1,133,503","33,684,208",South America,8,153,1,,,67
Switzerland,"4,394,296",,"14,452",,"4,373,995",,"5,849",39,"500,852","1,647","23,833,472","2,716,487","8,773,637",Europe,2,607,0,,,667
Philippines,"4,078,660",+193,"66,256",+11,"4,003,117",+113,"9,287",162,"36,252",589,"34,727,426","308,664","112,508,994",Asia,28,"1,698",3,2,0.10,83
South Africa,"4,069,578",,"102,595",,"3,912,506",,"54,477",192,"66,982","1,689","26,795,090","441,027","60,756,135",Africa,15,592,2,,,897
Romania,"3,352,356",,"67,773",,"3,272,569",,"12,014",117,"176,149","3,561","26,825,878","1,409,564","19,031,335",Europe,6,281,1,,,631
Denmark,"3,176,571",+118,"8,330",+6,"3,167,081",+71,"1,160",19,"544,404","1,428","129,218,976","22,145,687","5,834,950",Europe,2,700,0,20,1,199
Hong Kong,"2,884,172",+41,"13,472",,"2,866,796",+307,"3,904",28,"379,282","1,772","76,127,725","10,011,143","7,604,299",Asia,3,564,0,5,,513
Sweden,"2,700,231",,"23,785",,"2,673,259",,"3,187",7,"264,237","2,328","19,493,349","1,907,565","10,218,971",Europe,4,430,1,,,312
Serbia,"2,505,902",,"17,910",,"2,472,900",,"15,092",21,"289,599","2,070","12,519,651","1,446,854","8,653,016",Europe,3,483,1,,,"1,744"
Iraq,"2,465,545",,"25,375",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965",Asia,17,"1,662",2,,,16
New Zealand,"2,239,800",,"3,944",,"2,225,733",,"10,123",,"457,270",805,"7,768,604","1,586,011","4,898,203",Australia/Oceania,2,"1,242",1,,,"2,067"
Singapore,"2,234,996",,"1,722",,"2,149,583",,"83,691",1,"376,037",290,"24,756,666","4,165,302","5,943,546",Asia,3,"3,452",0,,,"14,081"
Hungary,"2,197,820",,"48,775",,"2,144,382",,"4,663",8,"228,790","5,077","11,394,556","1,186,160","9,606,259",Europe,4,197,1,,,485
Bangladesh,"2,037,947",,"29,445",,"1,998,448",,"10,054",N/A,"12,139",175,"15,254,399","90,862","167,885,689",Asia,82,"5,702",11,,,60
Slovakia,"1,864,529",+82,"21,055",+2,"1,842,185",+119,"1,289",25,"341,477","3,856","7,411,881","1,357,439","5,460,193",Europe,3,259,1,15,0.4,236
Georgia,"1,830,021",,"16,986",,"1,776,548",,"36,487",,"461,109","4,280","16,920,079","4,263,340","3,968,738",Asia,2,234,0,,,"9,194"
Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869",Asia,6,729,1,,,181
Ireland,"1,704,502",,"8,708",,"1,693,890",+75,"1,904",8,"339,529","1,735","13,046,725","2,598,846","5,020,199",Europe,3,577,0,,,379
Pakistan,"1,578,047",+133,"30,645",,"1,538,689",,"8,713",15,"6,876",134,"30,570,862","133,213","229,488,994",Asia,145,"7,489",8,0.6,,38
Norway,"1,479,902",,"5,213",,"1,473,819",,870,20,"268,518",946,"11,002,430","1,996,315","5,511,370",Europe,4,"1,057",1,,,158
Finland,"1,464,294",,"8,990",,"1,453,053",,"2,251",21,"263,601","1,618","12,061,906","2,171,376","5,554,960",Europe,4,618,0,,,405
Kazakhstan,"1,408,973",,"13,847",,"1,383,020",,"12,106",24,"73,365",721,"11,575,012","602,707","19,205,043",Asia,14,"1,387",2,,,630
Slovenia,"1,335,067",+417,"7,084",,"1,322,320",+313,"5,663",5,"642,466","3,409","2,843,324","1,368,276","2,078,034",Europe,2,293,1,201,,"2,725"
Lithuania,"1,310,395",+322,"9,611",+3,"1,294,457",+337,"6,327",4,"492,314","3,611","10,398,636","3,906,753","2,661,708",Europe,2,277,0,121,1,"2,377"
Bulgaria,"1,298,238",,"38,233",,"1,256,989",,"3,016",30,"189,673","5,586","11,091,175","1,620,428","6,844,597",Europe,5,179,1,,,441
Morocco,"1,272,526",,"16,296",,"1,256,151",,79,3,"33,689",431,"12,995,267","344,038","37,772,756",Africa,30,"2,318",3,,,2
Croatia,"1,269,687",,"18,006",,"1,251,200",,481,8,"312,786","4,436","5,530,633","1,362,464","4,059,286",Europe,3,225,1,,,118
Guatemala,"1,240,080",,"20,183",,"1,218,885",,"1,012",5,"66,728","1,086","7,017,755","377,623","18,584,039",North America,15,921,3,,,54
Lebanon,"1,233,312",,"10,848",,"1,087,587",,"134,877",74,"184,494","1,623","4,795,578","717,380","6,684,849",Asia,5,616,1,,,"20,177"
Costa Rica,"1,214,651",,"9,266",,"860,711",,"344,674",52,"234,382","1,788","4,659,757","899,158","5,182,354",North America,4,559,1,,,"66,509"
Bolivia,"1,194,973",+83,"22,368",+1,"1,162,185",+239,"10,420",220,"99,642","1,865","2,705,422","225,590","11,992,656",South America,10,536,4,7,0.08,869
Tunisia,"1,151,333",,"29,345",,N/A,N/A,N/A,44,"95,573","2,436","5,003,956","415,381","12,046,656",Africa,10,411,2,,,995
Cuba,"1,112,685",,"8,530",,"1,104,070",,85,2,"98,418",754,"14,324,663","1,267,036","11,305,652",North America,10,"1,325",1,,,8
Ecuador,"1,057,608",,"36,015",,"1,020,563",,"1,030",759,"58,388","1,988","3,082,403","170,173","18,113,361",South America,17,503,6,,,57
UAE,"1,054,423",,"2,349",,"1,036,595",,"15,479",,"104,587",233,"199,534,914","19,791,626","10,081,785",Asia,10,"4,292",0,,,"1,535"
Uruguay,"1,035,046",,"7,619",,"1,026,854",,573,18,"296,064","2,179","6,114,822","1,749,083","3,496,016",South America,3,459,1,,,164
Panama,"1,032,237",,"8,611",,"1,022,929",,697,16,"232,122","1,936","7,563,087","1,700,730","4,446,964",North America,4,516,1,,,157
Mongolia,"1,007,907",,"2,179",,"1,005,718",,10,192,"298,367",645,"4,030,048","1,193,000","3,378,078",Asia,3,"1,550",1,,,3
Nepal,"1,001,178",+6,"12,020",,"989,138",+3,20,,"33,124",398,"6,016,033","199,038","30,225,582",Asia,30,"2,515",5,0.2,,0.7
Belarus,"994,037",,"7,118",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800",Europe,9,"1,325",1,,,141
Latvia,"976,450",+17,"6,260",+1,"969,827",+42,363,13,"528,143","3,386","7,867,703","4,255,488","1,848,837",Europe,2,295,0,9,0.5,196
Saudi Arabia,"831,115",+115,"9,623",,"817,732",+79,"3,760",52,"23,186",268,"45,207,637","1,261,201","35,844,909",Asia,43,"3,725",1,3,,105
Azerbaijan,"829,076",,"10,147",,"818,672",,257,,"80,491",985,"7,545,086","732,518","10,300,205",Asia,12,"1,015",1,,,25
Paraguay,"808,507",,"19,880",,N/A,N/A,N/A,7,"110,666","2,721","2,657,506","363,751","7,305,843",South America,9,367,3,,,"12,361"
Bahrain,"712,964",,"1,555",,"708,582",,"2,827",7,"399,647",872,"10,760,503","6,031,730","1,783,983",Asia,3,"1,147",0,,,"1,585"
Sri Lanka,"672,048",,"16,831",,"655,208",,9,,"31,148",780,"6,486,117","300,619","21,575,842",Asia,32,"1,282",3,,,0.4
Kuwait,"664,402",,"2,570",,"660,237",,"1,595",,"151,679",587,"8,455,743","1,930,391","4,380,326",Asia,7,"1,704",1,,,364
Dominican Republic,"660,848",,"4,384",,"644,785",,"11,679",4,"59,771",397,"3,740,928","338,350","11,056,370",North America,17,"2,522",3,,,"1,056"
Cyprus,"652,386",,"1,335",,"645,696",,"5,355",60,"533,262","1,091","9,640,118","7,879,860","1,223,387",Asia,2,916,0,,,"4,377"
Myanmar,"633,975",,"19,490",,"614,459",,26,,"11,479",353,"10,118,339","183,213","55,227,143",Asia,87,"2,834",5,,,0.5
Palestine,"621,008",,"5,404",,"615,445",,159,17,"116,173","1,011","3,078,533","575,907","5,345,541",Asia,9,989,2,,,30
Estonia,"615,735",,"2,949",,"524,990",,"87,796",3,"465,792","2,231","3,682,656","2,785,860","1,321,910",Europe,2,448,0,,,"66,416"
Moldova,"613,974",,"12,025",,"504,142",,"97,807",49,"152,990","2,996","3,216,305","801,437","4,013,171",Europe,7,334,1,,,"24,372"
Venezuela,"552,244",,"5,854",,"546,092",,298,31,"18,869",200,"3,359,014","114,771","29,266,991",South America,53,"4,999",9,,,10
Egypt,"515,792",,"24,613",,"442,182",,"48,997",122,"4,859",232,"3,693,367","34,792","106,156,692",Africa,206,"4,313",29,,,462
Libya,"507,201",,"6,437",,"500,750",,14,,"72,038",914,"2,483,812","352,777","7,040,745",Africa,14,"1,094",3,,,2
Ethiopia,"500,212",,"7,572",,"487,404",,"5,236",1,"4,140",63,"5,505,142","45,568","120,812,698",Africa,242,"15,955",22,,,43
Qatar,"495,856",,688,,"494,555",,613,23,"166,399",231,"4,065,369","1,364,257","2,979,915",Asia,6,"4,331",1,,,206
Réunion,"486,588",,921,,"418,572",,"67,095",10,"535,854","1,014","1,603,660","1,766,027","908,061",Africa,2,986,1,,,"73,888"
Honduras,"472,340",,"11,111",,N/A,N/A,N/A,105,"46,212","1,087","1,640,835","160,532","10,221,247",North America,22,920,6,,,"32,157"
Armenia,"447,778",,"8,733",,"435,162",,"3,883",,"150,667","2,938","3,242,901","1,091,164","2,971,966",Asia,7,340,1,,,"1,307"
Bosnia and Herzegovina,"401,914",,"16,289",,"379,084",,"6,541",,"123,692","5,013","1,884,721","580,036","3,249,317",Europe,8,199,2,,,"2,013"
Oman,"399,449",,"4,628",,"384,669",,"10,152",2,"75,028",869,"25,000,000","4,695,724","5,323,993",Asia,13,"1,150",0,,,"1,907"
North Macedonia,"347,182",,"9,664",,"337,068",,450,,"166,810","4,643","2,226,216","1,069,626","2,081,304",Europe,6,215,1,,,216
Zambia,"343,344",,"4,057",,"339,113",,174,,"17,634",208,"3,960,805","203,429","19,470,234",Africa,57,"4,799",5,,,9
Kenya,"342,943",,"5,688",,"337,225",,30,1,"6,101",101,"3,967,062","70,569","56,215,221",Africa,164,"9,883",14,,,0.5
Albania,"334,542",,"3,598",,"329,260",,"1,684",,"116,713","1,255","1,941,032","677,173","2,866,374",Europe,9,797,1,,,588
Botswana,"329,769",,"2,801",,"326,962",,6,1,"135,087","1,147","2,026,898","830,300","2,441,162",Africa,7,872,1,,,2
Luxembourg,"297,757",,"1,133",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188","642,371",Europe,2,567,0,,,"11,883"
Montenegro,"289,186",,"2,808",,"285,737",,641,6,"460,524","4,472","2,727,362","4,343,279","627,950",Europe,2,224,0,,,"1,021"
Brunei,"280,790",,225,,"243,601",,"36,964",3,"630,378",505,"717,784","1,611,437","445,431",Asia,2,"1,980",1,,,"82,985"
Algeria,"271,542",,"6,881",,"182,836",,"81,825",,"5,988",152,"230,861","5,091","45,350,148",Africa,167,"6,591",196,,,"1,804"
Nigeria,"266,641",,"3,155",,"259,938",,"3,548",11,"1,230",15,"5,708,974","26,339","216,746,934",Africa,813,"68,700",38,,,16
Zimbabwe,"264,391",,"5,672",,"258,184",,535,12,"17,245",370,"2,525,756","164,744","15,331,428",Africa,58,"2,703",6,,,35
Uzbekistan,"251,430",,"1,637",,"241,486",,"8,307",23,"7,313",48,"1,377,915","40,077","34,382,084",Asia,137,"21,003",25,,,242
Mozambique,"233,214",,"2,242",,"228,805",,"2,167",11,"7,048",68,"1,371,127","41,437","33,089,461",Africa,142,"14,759",24,,,65
Martinique,"229,807",,"1,098",,N/A,N/A,N/A,12,"614,314","2,935","828,928","2,215,870","374,087",North America,2,341,0,,,"611,101"
Laos,"218,026",,758,,N/A,N/A,N/A,,"29,144",101,"1,233,207","164,845","7,481,023",Asia,34,"9,869",6,,,"28,019"
Afghanistan,"209,703",+31,"7,896",,"191,616",+76,"10,191",45,"5,146",194,"1,209,252","29,672","40,754,388",Asia,194,"5,161",34,0.8,,250
Iceland,"209,168",,229,,N/A,N/A,N/A,2,"605,594",663,"1,996,384","5,780,036","345,393",Europe,2,"1,508",0,,,"385,804"
Kyrgyzstan,"206,740",,"2,991",,"196,406",,"7,343",131,"30,727",445,"1,907,195","283,460","6,728,271",Asia,33,"2,250",4,,,"1,091"
Guadeloupe,"201,886",,"1,010",,N/A,N/A,N/A,19,"504,975","2,526","938,039","2,346,306","399,794",North America,2,396,0,,,"496,821"
El Salvador,"201,785",,"4,230",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467","6,550,389",North America,32,"1,549",3,,,"2,770"
Trinidad and Tobago,"190,285",,"4,361",,"185,714",,210,8,"135,282","3,100","902,869","641,887","1,406,585",North America,7,323,2,,,149
Maldives,"185,744",,311,,"163,687",,"21,746",25,"343,344",575,"2,213,831","4,092,223","540,985",Asia,3,"1,740",0,,,"40,197"
Ghana,"171,288",,"1,462",,"169,781",,45,2,"5,287",45,"2,532,076","78,161","32,395,450",Africa,189,"22,158",13,,,1
Namibia,"171,208",,"4,090",,"166,776",,342,,"65,002","1,553","1,062,663","403,460","2,633,874",Africa,15,644,2,,,130
Uganda,"170,558",,"3,630",,"100,431",,"66,497",3,"3,522",75,"3,012,408","62,198","48,432,863",Africa,284,"13,342",16,,,"1,373"
Jamaica,"154,416",,"3,514",,"102,529",,"48,373",,"51,729","1,177","1,183,986","396,633","2,985,094",North America,19,849,3,,,"16,205"
Cambodia,"138,721",,"3,056",,"135,663",,2,,"8,080",178,"3,091,420","180,062","17,168,639",Asia,124,"5,618",6,,,0.1
Rwanda,"133,194",,"1,468",,"131,647",,79,,"9,793",108,"6,021,981","442,778","13,600,464",Africa,102,"9,265",2,,,6
Cameroon,"124,605",,"1,966",,"122,434",,205,13,"4,464",70,"1,751,774","62,762","27,911,548",Africa,224,"14,197",16,,,7
Malta,"117,749",,829,,"116,248",,672,4,"265,181","1,867","2,119,315","4,772,877","444,033",Europe,4,536,0,,,"1,513"
Barbados,"106,798",,579,,"106,211",,8,,"370,797","2,010","794,426","2,758,203","288,023",North America,3,497,0,,,28
Angola,"105,298",,"1,933",,"103,342",,23,,"3,006",55,"1,499,795","42,818","35,027,343",Africa,333,"18,121",23,,,0.7
Channel Islands,"101,530",,228,,"101,161",,141,,"575,361","1,292","1,252,808","7,099,551","176,463",Europe,2,774,0,,,799
French Guiana,"98,041",,420,,"11,254",,"86,367",6,"312,065","1,337","651,257","2,072,951","314,169",South America,3,748,0,,,"274,906"
DRC,"95,815",,"1,464",,"84,379",,"9,972",,"1,006",15,"846,704","8,890","95,240,792",Africa,994,"65,055",112,,,105
Senegal,"88,933",,"1,971",,"86,947",,15,,"5,038",112,"1,146,543","64,946","17,653,671",Africa,199,"8,957",15,,,0.8
Malawi,"88,707",,"2,686",,"85,583",,438,67,"4,396",133,"624,784","30,959","20,180,839",Africa,227,"7,513",32,,,22
Ivory Coast,"88,286",,834,,"87,426",,26,,"3,182",30,"1,682,496","60,647","27,742,298",Africa,314,"33,264",16,,,0.9
