Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Peru,"4,489,377",,"219,648",,"4,267,184",,"2,545",39,"133,278","6,521","38,202,964","1,134,151","33,684,208",South America,8,153,1,,,76
Switzerland,"4,394,296",,"14,452",,"4,373,995",,"5,849",39,"500,852","1,647","23,833,472","2,716,487","8,773,637",Europe,2,607,0,,,667
Philippines,"4,078,820",,"66,265",,"4,003,285",,"9,270",162,"36,253",589,"34,735,054","308,731","112,508,994",Asia,28,"1,698",3,,,82
South Africa,"4,069,578",,"102,595",,"3,912,506",,"54,477",192,"66,982","1,689","26,795,090","441,027","60,756,135",Africa,15,592,2,,,897
Romania,"3,352,356",,"67,773",,"3,272,569",,"12,014",117,"176,149","3,561","26,825,878","1,409,564","19,031,335",Europe,6,281,1,,,631
Denmark,"3,176,693",,"8,334",,"3,167,140",,"1,219",19,"544,425","1,428","129,220,544","22,145,956","5,834,950",Europe,2,700,0,,,209
Hong Kong,"2,884,209",,"13,472",,"2,867,046",,"3,691",28,"379,287","1,772","76,127,725","10,011,143","7,604,299",Asia,3,564,0,,,485
Sweden,"2,700,231",,"23,785",,"2,673,541",+114,"2,905",7,"264,237","2,328","19,493,349","1,907,565","10,218,971",Europe,4,430,1,,,284
Serbia,"2,507,563",,"17,925",,"2,474,638",,"15,000",16,"289,791","2,072","12,531,783","1,448,256","8,653,016",Europe,3,483,1,,,"1,733"
Iraq,"2,465,545",,"25,375",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965",Asia,17,"1,662",2,,,16
New Zealand,"2,239,800",,"3,944",,"2,225,733",,"10,123",,"457,270",805,"7,768,604","1,586,011","4,898,203",Australia/Oceania,2,"1,242",1,,,"2,067"
Singapore,"2,234,996",,"1,722",,"2,149,583",,"83,691",1,"376,037",290,"24,756,666","4,165,302","5,943,546",Asia,3,"3,452",0,,,"14,081"
Hungary,"2,197,820",,"48,775",,"2,144,382",,"4,663",8,"228,790","5,077","11,394,556","1,186,160","9,606,259",Europe,4,197,1,,,485
Bangladesh,"2,037,947",,"29,445",,"1,998,448",,"10,054",N/A,"12,139",175,"15,254,399","90,862","167,885,689",Asia,82,"5,702",11,,,60
Slovakia,"1,864,607",,"21,058",,"1,842,319",,"1,230",25,"341,491","3,857","7,412,376","1,357,530","5,460,193",Europe,3,259,1,,,225
Georgia,"1,830,021",,"16,986",,"1,776,548",,"36,487",,"461,109","4,280","16,920,079","4,263,340","3,968,738",Asia,2,234,0,,,"9,194"
Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869",Asia,6,729,1,,,181
Ireland,"1,705,295",,"8,719",,"1,694,311",+248,"2,265",8,"339,687","1,737","13,046,725","2,598,846","5,020,199",Europe,3,576,0,,,451
Pakistan,"1,578,259",+103,"30,645",,"1,538,689",,"8,925",16,"6,877",134,"30,570,862","133,213","229,488,994",Asia,145,"7,489",8,0.4,,39
Norway,"1,480,029",,"5,213",,"1,473,936",,880,20,"268,541",946,"11,002,430","1,996,315","5,511,370",Europe,4,"1,057",1,,,160
Finland,"1,464,294",,"8,990",,"1,453,309",+111,"1,995",21,"263,601","1,618","12,061,906","2,171,376","5,554,960",Europe,4,618,0,,,359
Kazakhstan,"1,408,973",,"13,847",,"1,383,020",,"12,106",24,"73,365",721,"11,575,012","602,707","19,205,043",Asia,14,"1,387",2,,,630
