Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Croatia,1269687.0,361.0,18006.0,19.0,1251200.0,310.0,481.0,8.0,312786.0,4436.0,5530633.0,1362464.0,4059286.0,Europe,3.0,225.0,1.0,89.0,5.0,118.0
Guatemala,1238933.0,0.0,20182.0,0.0,1217743.0,0.0,1008.0,5.0,66667.0,1086.0,6983862.0,375799.0,18584039.0,North America,15.0,921.0,3.0,0.0,0.0,54.0
Lebanon,1233101.0,0.0,10845.0,0.0,1087587.0,0.0,134669.0,74.0,184462.0,1622.0,4795578.0,717380.0,6684849.0,Asia,5.0,616.0,1.0,0.0,0.0,20145.0
Costa Rica,1209725.0,0.0,9245.0,0.0,860711.0,0.0,339769.0,52.0,233432.0,1784.0,4659757.0,899158.0,5182354.0,North America,4.0,561.0,1.0,0.0,0.0,65563.0
Bolivia,1194387.0,0.0,22366.0,0.0,1160755.0,0.0,11266.0,220.0,99593.0,1865.0,2705422.0,225590.0,11992656.0,South America,10.0,536.0,4.0,0.0,0.0,939.0
Tunisia,1151126.0,0.0,29341.0,0.0,0.0,0.0,0.0,44.0,95556.0,2436.0,5003083.0,415309.0,12046656.0,Africa,10.0,411.0,2.0,0.0,0.0,978.0
Cuba,1112657.0,0.0,8530.0,0.0,1104045.0,0.0,82.0,2.0,98416.0,754.0,14324663.0,1267036.0,11305652.0,North America,10.0,1325.0,1.0,0.0,0.0,7.0
Ecuador,1057121.0,0.0,36014.0,0.0,1020564.0,0.0,543.0,759.0,58361.0,1988.0,3082403.0,170173.0,18113361.0,South America,17.0,503.0,6.0,0.0,0.0,30.0
UAE,1053746.0,0.0,2349.0,0.0,1036191.0,0.0,15206.0,0.0,104520.0,233.0,199466695.0,19784859.0,10081785.0,Asia,10.0,4292.0,0.0,0.0,0.0,1508.0
Uruguay,1034303.0,0.0,7617.0,0.0,1026186.0,0.0,500.0,18.0,295852.0,2179.0,6114822.0,1749083.0,3496016.0,South America,3.0,459.0,1.0,0.0,0.0,143.0
Panama,1031731.0,0.0,8609.0,0.0,1022524.0,0.0,598.0,16.0,232008.0,1936.0,7548346.0,1697416.0,4446964.0,North America,4.0,517.0,1.0,0.0,0.0,134.0
Mongolia,1007900.0,0.0,2179.0,0.0,1005717.0,0.0,4.0,192.0,298365.0,645.0,4030048.0,1193000.0,3378078.0,Asia,3.0,1550.0,1.0,0.0,0.0,1.0
Nepal,1001166.0,2.0,12020.0,0.0,989130.0,1.0,16.0,0.0,33123.0,398.0,6015419.0,199017.0,30225582.0,Asia,30.0,2515.0,5.0,0.07,0.0,0.5
Belarus,994037.0,0.0,7118.0,0.0,985592.0,0.0,1327.0,0.0,105381.0,755.0,13646641.0,1446722.0,9432800.0,Europe,9.0,1325.0,1.0,0.0,0.0,141.0
Latvia,976315.0,13.0,6253.0,0.0,969714.0,9.0,348.0,13.0,528070.0,3382.0,7866852.0,4255027.0,1848837.0,Europe,2.0,296.0,0.0,7.0,0.0,188.0
Saudi Arabia,830568.0,168.0,9622.0,1.0,817433.0,73.0,3513.0,38.0,23171.0,268.0,45175083.0,1260293.0,35844909.0,Asia,43.0,3725.0,1.0,5.0,0.03,98.0
Azerbaijan,828942.0,0.0,10144.0,0.0,818583.0,0.0,215.0,0.0,80478.0,985.0,7541312.0,732152.0,10300205.0,Asia,12.0,1015.0,1.0,0.0,0.0,21.0
Paraguay,808507.0,0.0,19880.0,0.0,0.0,0.0,0.0,7.0,110666.0,2721.0,2657506.0,363751.0,7305843.0,South America,9.0,367.0,3.0,0.0,0.0,12361.0
Bahrain,711768.0,0.0,1553.0,0.0,707357.0,0.0,2858.0,8.0,398977.0,871.0,10755041.0,6028668.0,1783983.0,Asia,3.0,1149.0,0.0,0.0,0.0,1602.0
Sri Lanka,672041.0,0.0,16830.0,0.0,655205.0,0.0,6.0,0.0,31148.0,780.0,6486117.0,300619.0,21575842.0,Asia,32.0,1282.0,3.0,0.0,0.0,0.3
Kuwait,663860.0,0.0,2570.0,0.0,660237.0,0.0,1053.0,0.0,151555.0,587.0,8455743.0,1930391.0,4380326.0,Asia,7.0,1704.0,1.0,0.0,0.0,240.0
Dominican Republic,660790.0,0.0,4384.0,0.0,644785.0,0.0,11621.0,4.0,59766.0,397.0,3740928.0,338350.0,11056370.0,North America,17.0,2522.0,3.0,0.0,0.0,1051.0
Cyprus,652386.0,0.0,1335.0,0.0,645696.0,0.0,5355.0,60.0,533262.0,1091.0,9640118.0,7879860.0,1223387.0,Asia,2.0,916.0,0.0,0.0,0.0,4377.0
Myanmar,633955.0,0.0,19490.0,0.0,614442.0,0.0,23.0,0.0,11479.0,353.0,10100031.0,182882.0,55227143.0,Asia,87.0,2834.0,5.0,0.0,0.0,0.4
Palestine,621008.0,0.0,5404.0,0.0,615445.0,0.0,159.0,17.0,116173.0,1011.0,3078533.0,575907.0,5345541.0,Asia,9.0,989.0,2.0,0.0,0.0,30.0
Estonia,615423.0,0.0,2946.0,0.0,524990.0,0.0,87487.0,5.0,465556.0,2229.0,3679061.0,2783140.0,1321910.0,Europe,2.0,449.0,0.0,0.0,0.0,66182.0
Moldova,611140.0,0.0,12003.0,0.0,504142.0,0.0,94995.0,49.0,152284.0,2991.0,3216305.0,801437.0,4013171.0,Europe,7.0,334.0,1.0,0.0,0.0,23671.0
Venezuela,552216.0,0.0,5854.0,0.0,545953.0,0.0,409.0,31.0,18868.0,200.0,3359014.0,114771.0,29266991.0,South America,53.0,4999.0,9.0,0.0,0.0,14.0
Egypt,515759.0,0.0,24613.0,0.0,442182.0,0.0,48964.0,122.0,4858.0,232.0,3693367.0,34792.0,106156692.0,Africa,206.0,4313.0,29.0,0.0,0.0,461.0
Libya,507187.0,0.0,6437.0,0.0,500737.0,0.0,13.0,0.0,72036.0,914.0,2483812.0,352777.0,7040745.0,Africa,14.0,1094.0,3.0,0.0,0.0,2.0
Ethiopia,500163.0,0.0,7572.0,0.0,487376.0,0.0,5215.0,1.0,4140.0,63.0,5500983.0,45533.0,120812698.0,Africa,242.0,15955.0,22.0,0.0,0.0,43.0
Qatar,495558.0,173.0,688.0,0.0,494371.0,487.0,499.0,26.0,166299.0,231.0,4065369.0,1364257.0,2979915.0,Asia,6.0,4331.0,1.0,58.0,0.0,167.0
Réunion,486588.0,0.0,921.0,0.0,418572.0,0.0,67095.0,10.0,535854.0,1014.0,1603660.0,1766027.0,908061.0,Africa,2.0,986.0,1.0,0.0,0.0,73888.0
Honduras,472301.0,0.0,11111.0,0.0,0.0,0.0,0.0,105.0,46208.0,1087.0,1638354.0,160289.0,10221247.0,North America,22.0,920.0,6.0,0.0,0.0,32153.0
Armenia,447308.0,0.0,8727.0,0.0,435162.0,0.0,3419.0,0.0,150509.0,2936.0,3242901.0,1091164.0,2971966.0,Asia,7.0,341.0,1.0,0.0,0.0,1150.0
Bosnia and Herzegovina,401729.0,0.0,16280.0,0.0,379084.0,0.0,6365.0,0.0,123635.0,5010.0,1884721.0,580036.0,3249317.0,Europe,8.0,200.0,2.0,0.0,0.0,1959.0
Oman,399449.0,0.0,4628.0,0.0,384669.0,0.0,10152.0,2.0,75028.0,869.0,25000000.0,4695724.0,5323993.0,Asia,13.0,1150.0,0.0,0.0,0.0,1907.0
North Macedonia,346852.0,0.0,9662.0,0.0,337068.0,0.0,122.0,0.0,166651.0,4642.0,2226216.0,1069626.0,2081304.0,Europe,6.0,215.0,1.0,0.0,0.0,59.0
